area_code,cell_code,X,Y,Z,Status
D1,02-03-01-LS,2,3,3,enable
D1,02-04-01-L1,2,4,1,enable
D1,02-04-01-L2,2,4,2,enable
D1,02-04-01-LS,2,4,3,enable
D1,02-05-01-L1,3,3,1,enable
D1,02-05-01-L2,3,3,2,enable
D1,02-05-01-LS,3,3,3,enable
D1,02-06-01-L1,3,4,1,enable
D1,02-06-01-L2,3,4,2,enable
D1,02-06-01-LS,3,4,3,enable
D1,02-07-01-L1,4,3,1,enable
D1,02-07-01-L2,4,3,2,enable
D1,02-07-01-LS,4,3,3,enable
D1,02-08-01-L1,4,4,1,enable
D1,02-08-01-L2,4,4,2,enable
D1,02-08-01-LS,4,4,3,enable
D1,02-09-01-L1,5,3,1,enable
D1,02-09-01-L2,5,3,2,enable
D1,02-09-01-LS,5,3,3,enable
D1,02-10-01-L1,5,4,1,enable
D1,02-10-01-L2,5,4,2,enable
D1,02-10-01-LS,5,4,3,enable
D1,02-11-01-L1,6,3,1,enable
D1,02-11-01-L2,6,3,2,enable
D1,02-11-01-LS,6,3,3,enable
D1,02-12-01-L1,6,4,1,enable
D1,02-12-01-L2,6,4,2,enable
D1,02-12-01-LS,6,4,3,enable
D1,02-13-01-L1,7,3,1,enable
D1,02-13-01-L2,7,3,2,enable
D1,02-13-01-LS,7,3,3,enable
D1,02-14-01-L1,7,4,1,enable
D1,02-14-01-L2,7,4,2,enable
D1,02-14-01-LS,7,4,3,enable
D1,02-15-01-L1,8,3,1,enable
D1,02-15-01-L2,8,3,2,enable
D1,02-15-01-LS,8,3,3,enable
D1,02-16-01-L1,8,4,1,enable
D1,02-16-01-L2,8,4,2,enable
D1,02-16-01-LS,8,4,3,enable
D1,02-17-01-L1,9,3,1,enable
D1,02-17-01-L2,9,3,2,enable
D1,02-17-01-LS,9,3,3,enable
D1,02-18-01-L1,9,4,1,enable
D1,02-18-01-L2,9,4,2,enable
D1,02-18-01-LS,9,4,3,enable
D1,02-19-01-L1,10,3,1,enable
D1,02-19-01-L2,10,3,2,enable
D1,02-19-01-LS,10,3,3,enable
D1,02-20-01-L1,10,4,1,enable
D1,02-20-01-L2,10,4,2,enable
D1,02-20-01-LS,10,4,3,enable
D1,02-21-01-L1,11,3,1,enable
D1,02-21-01-L2,11,3,2,enable
D1,02-21-01-LS,11,3,3,enable
D1,02-22-01-L1,11,4,1,enable
D1,02-22-01-L2,11,4,2,enable
D1,02-22-01-LS,11,4,3,enable
D1,02-23-01-L1,12,3,1,enable
D1,02-23-01-L2,12,3,2,enable
D1,02-23-01-LS,12,3,3,enable
D1,02-24-01-L1,12,4,1,enable
D1,02-24-01-L2,12,4,2,enable
D1,02-24-01-LS,12,4,3,enable
D1,02-25-01-L1,13,3,1,enable
D1,02-25-01-L2,13,3,2,enable
D1,02-25-01-LS,13,3,3,enable
D1,02-26-01-L1,13,4,1,enable
D1,02-26-01-L2,13,4,2,enable
D1,02-26-01-LS,13,4,3,enable
D1,02-27-01-L1,14,3,1,enable
D1,02-27-01-L2,14,3,2,enable
D1,02-27-01-LS,14,3,3,enable
D1,02-28-01-L1,14,4,1,enable
D1,02-28-01-L2,14,4,2,enable
D1,02-28-01-LS,14,4,3,enable
D1,02-29-01-L1,15,3,1,enable
D1,02-29-01-L2,15,3,2,enable
D1,02-29-01-LS,15,3,3,enable
D1,02-30-01-L1,15,4,1,enable
D1,02-30-01-L2,15,4,2,enable
D1,02-30-01-LS,15,4,3,enable
D1,02-31-01-L1,16,3,1,enable
D1,02-31-01-L2,16,3,2,enable
D1,02-31-01-LS,16,3,3,enable
D1,02-32-01-L1,16,4,1,enable
D1,02-32-01-L2,16,4,2,enable
D1,02-32-01-LS,16,4,3,enable
D1,02-33-01-L1,17,3,1,enable
D1,02-33-01-L2,17,3,2,enable
D1,02-33-01-LS,17,3,3,enable
D1,02-34-01-L1,17,4,1,enable
D1,02-34-01-L2,17,4,2,enable
D1,02-34-01-LS,17,4,3,enable
D1,02-35-01-L1,18,3,1,enable
D1,02-35-01-L2,18,3,2,enable
D1,02-35-01-LS,18,3,3,enable
D1,02-36-01-L1,18,4,1,enable
D1,02-36-01-L2,18,4,2,enable
D1,02-36-01-LS,18,4,3,enable
D1,02-37-01-L1,19,3,1,enable
D1,02-37-01-L2,19,3,2,enable
D1,02-37-01-LS,19,3,3,enable
D1,02-38-01-L1,19,4,1,enable
D1,02-38-01-L2,19,4,2,enable
D1,02-38-01-LS,19,4,3,enable
D1,02-39-01-L1,20,3,1,enable
D1,02-39-01-L2,20,3,2,enable
D1,02-39-01-LS,20,3,3,enable
D1,02-40-01-L1,20,4,1,enable
D1,02-40-01-L2,20,4,2,enable
D1,02-40-01-LS,20,4,3,enable
D1,02-41-01-L1,21,3,1,enable
D1,02-41-01-L2,21,3,2,enable
D1,02-41-01-LS,21,3,3,enable
D1,02-42-01-L1,21,4,1,enable
D1,02-42-01-L2,21,4,2,enable
D1,02-42-01-LS,21,4,3,enable
D1,02-43-01-L1,22,3,1,enable
D1,02-43-01-L2,22,3,2,enable
D1,02-43-01-LS,22,3,3,enable
D1,02-44-01-L1,22,4,1,enable
D1,02-44-01-L2,22,4,2,enable
D1,02-44-01-LS,22,4,3,enable
D1,02-45-01-L1,23,3,1,enable
D1,02-45-01-L2,23,3,2,enable
D1,02-45-01-LS,23,3,3,enable
D1,02-46-01-L1,23,4,1,enable
D1,02-46-01-L2,23,4,2,enable
D1,02-46-01-LS,23,4,3,enable
D1,02-47-01-L1,24,3,1,enable
D1,02-47-01-L2,24,3,2,enable
D1,02-47-01-LS,24,3,3,enable
D1,02-48-01-L1,24,4,1,enable
D1,02-48-01-L2,24,4,2,enable
D1,02-48-01-LS,24,4,3,enable
D1,02-49-01-L1,25,3,1,enable
D1,02-49-01-L2,25,3,2,enable
D1,02-49-01-LS,25,3,3,enable
D1,02-50-01-L1,25,4,1,enable
D1,02-50-01-L2,25,4,2,enable
D1,02-50-01-LS,25,4,3,enable
D1,02-51-01-L1,26,3,1,enable
D1,02-51-01-L2,26,3,2,enable
D1,02-51-01-LS,26,3,3,enable
D1,02-52-01-L1,26,4,1,enable
D1,02-52-01-L2,26,4,2,enable
D1,02-52-01-LS,26,4,3,enable
D1,02-53-01-L1,27,3,1,enable
D1,02-53-01-L2,27,3,2,enable
D1,02-53-01-LS,27,3,3,enable
D1,02-54-01-L1,27,4,1,enable
D1,02-54-01-L2,27,4,2,enable
D1,02-54-01-LS,27,4,3,enable
D1,02-55-01-L1,28,3,1,enable
D1,02-55-01-L2,28,3,2,enable
D1,02-55-01-LS,28,3,3,enable
D1,02-56-01-L1,28,4,1,enable
D1,02-56-01-L2,28,4,2,enable
D1,02-56-01-LS,28,4,3,enable
D1,03-01-01-L1,1,5,1,enable
D1,03-01-01-L2,1,5,2,enable
D1,03-01-01-LS,1,5,3,enable
D1,03-02-01-L1,1,6,1,enable
D1,03-02-01-L2,1,6,2,enable
D1,03-02-01-LS,1,6,3,enable
D1,03-03-01-L1,2,5,1,enable
D1,03-03-01-L2,2,5,2,enable
D1,03-03-01-LS,2,5,3,enable
D1,03-04-01-L1,2,6,1,enable
D1,03-04-01-L2,2,6,2,enable
D1,03-04-01-LS,2,6,3,enable
D1,03-05-01-L1,3,5,1,enable
D1,03-05-01-L2,3,5,2,enable
D1,03-05-01-LS,3,5,3,enable
D1,03-06-01-L1,3,6,1,enable
D1,03-06-01-L2,3,6,2,enable
D1,03-06-01-LS,3,6,3,enable
D1,03-07-01-L1,4,5,1,enable
D1,03-07-01-L2,4,5,2,enable
D1,03-07-01-LS,4,5,3,enable
D1,03-08-01-L1,4,6,1,enable
D1,03-08-01-L2,4,6,2,enable
D1,03-08-01-LS,4,6,3,enable
D1,03-09-01-L1,5,5,1,enable
D1,03-09-01-L2,5,5,2,enable
D1,03-09-01-LS,5,5,3,enable
D1,03-10-01-L1,5,6,1,enable
D1,03-10-01-L2,5,6,2,enable
D1,03-10-01-LS,5,6,3,enable
D1,03-11-01-L1,6,5,1,enable
D1,03-12-01-LS,6,6,3,enable
D1,03-13-01-L1,7,5,1,enable
D1,03-13-01-L2,7,5,2,enable
D1,03-13-01-LS,7,5,3,enable
